n,curvature_density_normalized
2,0.0024867959858108648
3,0.0002183195378489648
4,3.885618727829476e-05
5,1.0185916357881302e-05
6,3.411242778890075e-06
7,1.35279469516864e-06
8,6.071279262233557e-07
9,2.9947810404521916e-07
10,1.5915494309189535e-07
11,8.983881621456746e-08
12,5.330066842015742e-08
13,3.2973118076952154e-08
14,2.113741711201e-08
15,1.3972450422333748e-08
16,9.486373847239932e-09
17,6.593660823585645e-09
18,4.679345375706549e-09
19,3.382972955526018e-09
20,2.486795985810865e-09
