n,curvature_density
1,inf
2,17075338.52563534
3,1264839.890787803
4,213441.73157044174
5,54641.0832820331
6,18069.141296968617
7,7111.761151868113
8,3176.2162436077638
9,1561.5307293676578
10,827.8952012429257
11,466.5074387169002
12,276.40731879104084
13,170.815732998898
14,109.4117100287402
15,72.27656518787447
16,49.04451552629636
17,34.07394253268707
18,24.172302312192848
19,17.470030182534245
20,12.838600395214542
